address,name,type,comment
0x0000f050,switchD,,
0x0000f054,switchdataD_0000f054,ushort,
0x0000f05e,caseD_54,,
0x0000f06c,caseD_55,,
0x0000f0d2,caseD_56,,
0x0000f0de,caseD_57,,
0x0000f0ea,caseD_58,,
0x0000f124,switchD,,
0x0000f128,switchdataD_0000f128,ushort,
0x0000f144,caseD_59,,
0x0000f1b6,caseD_5b,,
0x0000f1d6,caseD_5c,,
0x0000f1e2,caseD_61,,
0x0000f1f4,caseD_64,,
0x0000f200,caseD_66,,
0x0000f2b2,switchD,,
0x0000f2b6,switchdataD_0000f2b6,ushort,
0x0000f2c0,caseD_0,,
0x0000f2c4,caseD_1,,
0x0000f2c4,caseD_2,,
0x0000f2ca,caseD_3,,
0x0000f2d0,caseD_4,,
0x0000f2d6,default,,
0x0000f3c4,switchD,,
0x0000f3c8,switchdataD_0000f3c8,ushort,
0x0000f3d4,caseD_b9,,
0x0000f3de,caseD_bb,,
0x0000f3ee,caseD_bc,,
0x0000f3fe,caseD_bd,,
0x0000f40e,caseD_be,,
0x0000f640,switchD,,
0x0000f644,switchdataD_0000f644,ushort,
0x0000f652,caseD_f4,,
0x0000f670,caseD_f5,,
0x0000f68a,caseD_f7,,
0x0000f69e,caseD_f8,,
0x0000f6b2,caseD_fa,,
0x0000f70c,default,,
0x0000f70c,caseD_5a,,
0x0000f70c,caseD_5d,,
0x0000f70c,caseD_5e,,
0x0000f70c,caseD_5f,,
0x0000f70c,caseD_60,,
0x0000f70c,caseD_62,,
0x0000f70c,caseD_63,,
0x0000f70c,caseD_65,,
0x0000f70c,caseD_ba,,
0x0000f70c,caseD_f6,,
0x0000f70c,caseD_f9,,
0x0000fc2a,switchD,,
0x0000fc2e,switchdataD_0000fc2e,ushort,
0x0000fc3a,USHORT_0000fc3a,ushort,
0x0000fc3c,USHORT_0000fc3c,ushort,
0x0000fc3e,caseD_1,,
0x0000fc52,caseD_2,,
0x0000fcac,caseD_3,,
0x0000fd06,caseD_4,,
0x0000fd26,caseD_5,,
0x0000fd54,caseD_6,,
0x0000fd9c,caseD_7,,
0x0000fde2,caseD_0,,
0x0001002a,switchD,,
0x0001002e,switchdataD_0001002e,ushort,
0x0001003a,caseD_1,,
0x00010042,caseD_2,,
0x0001004a,caseD_3,,
0x00010052,caseD_4,,
0x0001005a,caseD_5,,
0x00010062,caseD_6,,
0x00010068,default,,
0x0001185e,switchD,,
0x00011862,switchdataD_00011862,ushort,
0x0001186a,caseD_0,,
0x00011870,caseD_1,,
