function_address,function_name,param_index,new_name,new_type,comment
# -----------------------------------------------------------------------------
# Table Interpolation Functions - Ported from CM550 (same pattern across ECU families)
# -----------------------------------------------------------------------------
0x00055ef4,lookupTableInterpolation,0,args,table_interp_args_t*,Pointer to table interpolation arguments structure

0x000566cc,dualAxisTableInterpolation,0,table_descriptor,void*,Pointer to 2D table descriptor
0x000566cc,dualAxisTableInterpolation,1,x_input,ushort,X-axis input value
0x000566cc,dualAxisTableInterpolation,2,y_input,ushort,Y-axis input value

0x00015e08,interpolateFuelMapTable,0,table_ptr,void*,Pointer to fuel map table
0x00015e08,interpolateFuelMapTable,1,rpm_input,ushort,Engine RPM value for lookup
0x00015e08,interpolateFuelMapTable,2,load_input,ushort,Engine load value for lookup

# -----------------------------------------------------------------------------
# CAN Message Transmission - Adapted from CM550 patterns
# -----------------------------------------------------------------------------
0x00003f20,transmitCanMessage,0,msg_header,j1939_header_t*,Pointer to J1939 message header structure
0x00003f20,transmitCanMessage,1,data_ptr,byte*,Pointer to message data bytes

0x00005adc,multiFrameCanTransmit,0,msg_header,j1939_header_t*,Pointer to J1939 message header (multi-frame)
0x00005adc,multiFrameCanTransmit,1,data_ptr,byte*,Pointer to message payload data
0x00005adc,multiFrameCanTransmit,2,data_length,ushort,Total length of payload to transmit

# -----------------------------------------------------------------------------
# EEPROM Operations
# -----------------------------------------------------------------------------
0x00000bec,eepromWriteWords,0,dest_address,uint,EEPROM destination address
0x00000bec,eepromWriteWords,1,src_ptr,word*,Pointer to source data words
0x00000bec,eepromWriteWords,2,word_count,ushort,Number of words to write

# -----------------------------------------------------------------------------
# J1939 PGN Handlers - Common pattern for diagnostic message handlers
# Pattern: First param is always a pointer to the received CAN message descriptor
# -----------------------------------------------------------------------------
0x00020c64,processJ1939RxMessage,0,rx_msg,can_std_rx_desc_t*,Pointer to received CAN message descriptor

0x0000628c,j1939DiagMessageDispatcher,0,rx_msg,can_std_rx_desc_t*,Pointer to received diagnostic message
0x0000628c,j1939DiagMessageDispatcher,1,service_code,byte,Diagnostic service code from message

0x00005c50,handleJ1939QueueRequest,0,request_type,byte,Type of queue request (0x10=start 0x11=continue)
0x00005c50,handleJ1939QueueRequest,1,connection_id,byte,Transport protocol connection ID

0x00005ecc,handleJ1939DataRequest,0,rx_msg,can_std_rx_desc_t*,Pointer to data request message
0x00005fe4,handleJ1939DataTransfer,0,rx_msg,can_std_rx_desc_t*,Pointer to data transfer message
0x00006180,handleJ1939AbortRequest,0,rx_msg,can_std_rx_desc_t*,Pointer to abort request message

# TSC1 (Torque/Speed Control) Message Handlers - PGN 0 (TSC1)
0x00022d60,processTsc1Command,0,rx_msg,can_std_rx_desc_t*,Pointer to received TSC1 message
0x00023b38,j1939DispatchAddressHandler,0,rx_msg,can_std_rx_desc_t*,Pointer to received J1939 message for address filtering
0x00022870,j1939ProcessTorqueSpeedControl,0,rx_msg,can_std_rx_desc_t*,Pointer to received TSC1 message (secondary handler)

# -----------------------------------------------------------------------------
# Diagnostic Service Dispatchers
# -----------------------------------------------------------------------------
0x000038f4,diagRequestTypeDispatcher,0,service_code,byte,UDS/J1939 diagnostic service code
0x000038f4,diagRequestTypeDispatcher,1,request_ptr,byte*,Pointer to request data buffer

0x00006d24,dispatchDiagnosticService,0,service_code,byte,Service code (e.g. 0x22=ReadDataByID 0x2E=WriteDataByID)
