address,name,type,comment
# =============================================================================
# MPC555 Hardware Register Definitions
# Reference: MPC555 Users Manual (MPCUM/D Rev 1)
# =============================================================================

# =============================================================================
# USIU - System Integration Unit (0x2FC000 - 0x2FFFFF)
# =============================================================================
0x002fc000,USIU_SIUMCR,u32,SIU Module Configuration Register
0x002fc004,USIU_SYPCR,u32,System Protection Control Register
0x002fc00e,USIU_SWSR,u16,Software Service Register (watchdog)
0x002fc010,USIU_SIPEND,u32,SIU Interrupt Pending Register
0x002fc014,USIU_SIMASK,u32,SIU Interrupt Mask Register
0x002fc018,USIU_SIEL,u32,SIU Interrupt Edge/Level Register
0x002fc01c,USIU_SIVEC,u32,SIU Interrupt Vector Register
0x002fc020,USIU_TESR,u32,Transfer Error Status Register
0x002fc024,USIU_PADCFG_A,u32,Pad/peripheral configuration A (bit 10 controlled by ECU capability)
0x002fc028,USIU_PADCFG_B,u32,Pad/peripheral configuration B
0x002fc02c,USIU_INITCFG,u32,System initialization config (written 0x2004 at boot)
0x002fc030,USIU_SGPIODT1,u32,SIU GPIO Data Register 1
0x002fc034,USIU_SGPIODT2,u32,SIU GPIO Data Register 2
0x002fc038,USIU_SGPIOCR,u32,SIU GPIO Control Register
0x002fc03c,USIU_EMCR,u32,External Master Control Register
0x002fc044,USIU_PDMCR,u32,Pad Module Configuration Register

# Memory Controller Registers
0x002fc100,USIU_BR0,u32,Base Register 0
0x002fc104,USIU_OR0,u32,Option Register 0
0x002fc108,USIU_BR1,u32,Base Register 1
0x002fc10c,USIU_OR1,u32,Option Register 1
0x002fc110,USIU_BR2,u32,Base Register 2
0x002fc114,USIU_OR2,u32,Option Register 2
0x002fc118,USIU_BR3,u32,Base Register 3
0x002fc11c,USIU_OR3,u32,Option Register 3

# DMA Controller
0x002fc140,USIU_DMBR,u32,DMA Memory Base Register
0x002fc144,USIU_DMOR,u32,DMA Option Register

# Timebase Status and Control Registers (0x200 range)
# NOTE: Previous layout placed status registers at 0x300 - those are KEY registers.
